REC-TYPE,VENDOR SKU NO,HOST SKU NO,UPC,ON HAND QTY,ON HAND DATE,BACKORDER QTY,BACKORDER DATE,EXPECTED QTY,EXPECTED DATE
IR,ALG-637_40,,693016273058,0,,,,,
IR,ALG-637_41,,693016273065,0,,,,,
IR,ALG-637_42,,693016273072,0,,,,,
IR,ALG-640_35,,693016609246,0,,,,,
IR,ALG-640_36,,693016609253,18,,,,,
IR,ALG-640_37,,693016609260,32,,,,,
IR,ALG-640_38,,693016609277,62,,,,,
IR,ALG-640_39,,693016609284,39,,,,,
IR,ALG-640_40,,693016609291,5,,,,,
IR,ALG-640_41,,693016609307,7,,,,,
IR,ALG-640_42,,693016609314,0,,,,,
IR,ALG-640_43,,693016609321,0,,,,,
IR,ALG-644_34,,693016519781,0,,,,,
IR,ALG-644_35,,693016519798,7,,,,,
IR,ALG-644_36,,693016519804,8,,,,,
IR,ALG-644_37,,693016519811,16,,,,,
IR,ALG-644_38,,693016519828,27,,,,,
IR,ALG-644_39,,693016519835,41,,,,,
IR,ALG-644_40,,693016519842,37,,,,,
IR,ALG-644_41,,693016519859,19,,,,,
IR,ALG-644_42,,693016519866,0,,,,,
IR,ALG-644_43,,693016519873,0,,,,,
IR,ALG-686_34,,693016585571,0,,,,,
IR,ALG-686_35,,693016585588,11,,,,,
IR,ALG-686_36,,693016585595,39,,,,,
IR,ALG-686_37,,693016585601,95,,,,,
IR,ALG-686_38,,693016585618,138,,,,,
IR,ALG-686_39,,693016585625,152,,,,,
IR,ALG-686_40,,693016585632,113,,,,,
IR,ALG-686_41,,693016585649,76,,,,,
IR,ALG-686_42,,693016585656,32,,,,,
IR,ALG-686_43,,693016585663,0,,,,,
IR,ALG-711_34,,693016488384,0,,,,,
IR,ALG-711_35,,693016488391,0,,,,,
IR,ALG-711_36,,693016488407,0,,,,,
IR,ALG-711_37,,693016488414,0,,,,,
IR,ALG-711_38,,693016488421,0,,,,,
IR,ALG-711_39,,693016488438,0,,,,,
IR,ALG-711_40,,693016488445,0,,,,,
