itemNo,color,size,upc,inStock,wholesalePrice,retailPrice,eta
ALG-637,Classic Dusty Cognac,40,693016273058,0,34.50,119.95,
ALG-637,Classic Dusty Cognac,41,693016273065,0,34.50,119.95,
ALG-637,Classic Dusty Cognac,42,693016273072,0,34.50,119.95,
ALG-640,Classic Jet Luster,35,693016609246,0,54.50,119.95,Jul 15 2017
ALG-640,Classic Jet Luster,36,693016609253,18,54.50,119.95,Jul 15 2017
ALG-640,Classic Jet Luster,37,693016609260,32,54.50,119.95,Jul 15 2017
ALG-640,Classic Jet Luster,38,693016609277,62,54.50,119.95,Jul 15 2017
ALG-640,Classic Jet Luster,39,693016609284,39,54.50,119.95,Jul 15 2017
ALG-640,Classic Jet Luster,40,693016609291,5,54.50,119.95,Jul 15 2017
ALG-640,Classic Jet Luster,41,693016609307,7,54.50,119.95,Jul 15 2017
ALG-640,Classic Jet Luster,42,693016609314,0,54.50,119.95,Jul 15 2017
ALG-640,Classic Jet Luster,43,693016609321,0,54.50,119.95,Jul 15 2017
ALG-644,Classic Breezy Tawny,34,693016519781,0,54.50,119.95,Jul 30 2017
ALG-644,Classic Breezy Tawny,35,693016519798,7,54.50,119.95,Jul 30 2017
ALG-644,Classic Breezy Tawny,36,693016519804,8,54.50,119.95,Jul 30 2017
ALG-644,Classic Breezy Tawny,37,693016519811,16,54.50,119.95,Jul 30 2017
ALG-644,Classic Breezy Tawny,38,693016519828,27,54.50,119.95,Jul 30 2017
ALG-644,Classic Breezy Tawny,39,693016519835,41,54.50,119.95,Jul 30 2017
ALG-644,Classic Breezy Tawny,40,693016519842,37,54.50,119.95,Jul 30 2017
ALG-644,Classic Breezy Tawny,41,693016519859,19,54.50,119.95,Jul 30 2017
ALG-644,Classic Breezy Tawny,42,693016519866,0,54.50,119.95,Jul 30 2017
ALG-644,Classic Breezy Tawny,43,693016519873,0,54.50,119.95,Jul 30 2017
ALG-686,Classic Swirly Goodness,34,693016585571,0,54.50,119.95,
ALG-686,Classic Swirly Goodness,35,693016585588,11,54.50,119.95,
ALG-686,Classic Swirly Goodness,36,693016585595,39,54.50,119.95,
ALG-686,Classic Swirly Goodness,37,693016585601,95,54.50,119.95,
ALG-686,Classic Swirly Goodness,38,693016585618,138,54.50,119.95,
ALG-686,Classic Swirly Goodness,39,693016585625,152,54.50,119.95,
ALG-686,Classic Swirly Goodness,40,693016585632,113,54.50,119.95,
ALG-686,Classic Swirly Goodness,41,693016585649,76,54.50,119.95,
ALG-686,Classic Swirly Goodness,42,693016585656,32,54.50,119.95,
ALG-686,Classic Swirly Goodness,43,693016585663,0,54.50,119.95,
ALG-711,Classic Black Burnish Snake,34,693016488384,0,34.50,69.00,
ALG-711,Classic Black Burnish Snake,35,693016488391,0,34.50,69.00,
ALG-711,Classic Black Burnish Snake,36,693016488407,0,34.50,69.00,
ALG-711,Classic Black Burnish Snake,37,693016488414,0,34.50,69.00,
ALG-711,Classic Black Burnish Snake,38,693016488421,0,34.50,69.00,
ALG-711,Classic Black Burnish Snake,39,693016488438,0,34.50,69.00,
ALG-711,Classic Black Burnish Snake,40,693016488445,0,34.50,69.00,
ALG-711,Classic Black Burnish Snake,41,693016488452,0,34.50,69.00,
ALG-711,Classic Black Burnish Snake,42,693016488469,0,34.50,69.00,
ALG-711,Classic Black Burnish Snake,43,693016488476,0,34.50,69.00,
ALG-715,Classic Brilliant Snake,35,693016256068,0,34.50,69.00,
ALG-715,Classic Brilliant Snake,36,693016256075,0,34.50,69.00,
ALG-715,Classic Brilliant Snake,37,693016256082,0,34.50,69.00,
ALG-715,Classic Brilliant Snake,38,693016256099,0,34.50,69.00,
ALG-715,Classic Brilliant Snake,39,693016256105,0,34.50,69.00,
ALG-715,Classic Brilliant Snake,40,693016256112,0,34.50,69.00,
ALG-715,Classic Brilliant Snake,41,693016256129,0,34.50,69.00,
ALG-715,Classic Brilliant Snake,42,693016256136,0,34.50,69.00,
ALG-719,Classic Pewter Thumbprint,34,693016569809,0,54.50,119.95,
ALG-719,Classic Pewter Thumbprint,35,693016569816,6,54.50,119.95,
ALG-719,Classic Pewter Thumbprint,36,693016569823,0,54.50,119.95,
ALG-719,Classic Pewter Thumbprint,37,693016569830,38,54.50,119.95,
ALG-719,Classic Pewter Thumbprint,38,693016569847,45,54.50,119.95,
ALG-719,Classic Pewter Thumbprint,39,693016569854,46,54.50,119.95,
ALG-719,Classic Pewter Thumbprint,40,693016569861,65,54.50,119.95,
ALG-719,Classic Pewter Thumbprint,41,693016569878,22,54.50,119.95,
ALG-719,Classic Pewter Thumbprint,42,693016569885,0,54.50,119.95,
ALG-719,Classic Pewter Thumbprint,43,693016569892,0,54.50,119.95,
ALG-759,Classic Posh Pewter,34,693016569601,0,34.50,119.95,
ALG-759,Classic Posh Pewter,35,693016569618,0,34.50,119.95,
ALG-759,Classic Posh Pewter,36,693016569625,0,34.50,119.95,
ALG-759,Classic Posh Pewter,37,693016569632,0,34.50,119.95,
ALG-759,Classic Posh Pewter,38,693016569649,0,34.50,119.95,
ALG-759,Classic Posh Pewter,39,693016569656,0,34.50,119.95,
ALG-759,Classic Posh Pewter,40,693016569663,0,34.50,119.95,
ALG-759,Classic Posh Pewter,41,693016569670,0,34.50,119.95,
ALG-759,Classic Posh Pewter,42,693016569687,0,34.50,119.95,
ALG-759,Classic Posh Pewter,43,693016569694,0,34.50,119.95,
ALG-914,Classic Burgundy Shearling,34,693016533589,0,34.50,69.00,
ALG-914,Classic Burgundy Shearling,35,693016533596,0,34.50,69.00,
ALG-914,Classic Burgundy Shearling,36,693016533602,0,34.50,69.00,
ALG-914,Classic Burgundy Shearling,37,693016533619,0,34.50,69.00,
ALG-914,Classic Burgundy Shearling,38,693016533626,0,34.50,69.00,
ALG-914,Classic Burgundy Shearling,39,693016533633,0,34.50,69.00,
ALG-914,Classic Burgundy Shearling,40,693016533640,0,34.50,69.00,
ALG-914,Classic Burgundy Shearling,41,693016533657,0,34.50,69.00,
ALG-914,Classic Burgundy Shearling,42,693016533664,0,34.50,69.00,
ALG-914,Classic Burgundy Shearling,43,693016533671,0,34.50,69.00,
ALG-919,Classic Sophistisnake Multi,35,693016287796,0,34.50,69.95,
ALG-919,Classic Sophistisnake Multi,36,693016287802,0,34.50,69.95,
ALG-919,Classic Sophistisnake Multi,37,693016287819,0,34.50,69.95,
