CATALOG,SELECTION CODE,SELECTION CODE DESCRIPTION,PRODUCT ID,PRODUCT [ID] DESCRIPTION,UPC,VENDOR PART NUMBER,VENDOR PART DESCRIPTION,NRF COLOR CODE,PRODUCT COLOR DESCRIPTION,NRF SIZE CODE,PRODUCT SIZE DESCRIPTION,PRODUCT FABRIC DESCRIPTION,AVAILABLE DATE,DISCONTINUE DATE,MINIMIUM ORDER QTY,MAXIMUM ORDER QTY,REORDERABLE PRODUCT,SEASONAL AVAILABILITY,COUNTRY OF ORIGIN,INNER PACK QTY,OUTER PACK QTY,ORDER LEAD TIME,ORDER LEAD TIME CODE,ITEM EXTENDED DESCRIPTION,IMAGE URL,PRICE QUALIFIER 1,PRICE AMOUNT 1
CATALOG,ALG,Alegria Shoes,ALG-207_43,Classic Prismatic,693016519774,,,,Classic Prismatic,52153,43,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-211_35,Classic Soft Black,693016252305,,,,Classic Soft Black,52145,35,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-211_36,Classic Soft Black,693016252312,,,,Classic Soft Black,52146,36,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-211_37,Classic Soft Black,693016252329,,,,Classic Soft Black,52147,37,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-211_38,Classic Soft Black,693016252336,,,,Classic Soft Black,52148,38,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-211_39,Classic Soft Black,693016252343,,,,Classic Soft Black,52149,39,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-211_40,Classic Soft Black,693016252350,,,,Classic Soft Black,52150,40,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-211_41,Classic Soft Black,693016252367,,,,Classic Soft Black,52151,41,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-211_42,Classic Soft Black,693016252374,,,,Classic Soft Black,52152,42,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-231_34,Classic Pro Jazzy Black,693016532681,,,,Classic Pro Jazzy Black,52144,34,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
