ItemNo,UPCcode,Current_Quantity_Available
ALG-CAM-252,693016594658,33
ALG-CAM-252,693016594665,0
ALG-CAM-372,693016594276,0
ALG-CAM-372,693016594283,17
ALG-CAM-372,693016594290,59
ALG-CAM-372,693016594306,131
ALG-CAM-372,693016594313,190
ALG-CAM-372,693016594320,159
ALG-CAM-372,693016594337,98
ALG-CAM-372,693016594344,36
ALG-CAM-372,693016594351,27
ALG-CAM-372,693016594368,0
ALG-CAM-791,693016601677,0
ALG-CAM-791,693016601684,10
ALG-CAM-791,693016601691,23
ALG-CAM-791,693016601707,72
ALG-CAM-791,693016601714,120
ALG-CAM-791,693016601721,116
ALG-CAM-791,693016601738,64
ALG-CAM-791,693016601745,17
ALG-CAM-791,693016601752,8
ALG-CAM-791,693016601769,0
ALG-CAR-139C,693016593170,0
ALG-CAR-139C,693016593187,16
ALG-CAR-139C,693016593194,60
ALG-CAR-139C,693016593200,153
ALG-CAR-139C,693016593217,218
ALG-CAR-139C,693016593224,131
ALG-CAR-139C,693016593231,80
ALG-CAR-139C,693016593248,31
ALG-CAR-139C,693016593255,35
ALG-CAR-139C,693016593262,0
ALG-CAR-372,693016592371,0
ALG-CAR-372,693016592388,16
ALG-CAR-372,693016592395,94
ALG-CAR-372,693016592401,201
ALG-CAR-372,693016592418,289
ALG-CAR-372,693016592425,218
ALG-CAR-372,693016592432,146
ALG-CAR-372,693016592449,64
ALG-CAR-372,693016592456,42
ALG-CAR-372,693016592463,0
ALG-CAR-485,693016593071,0
ALG-CAR-485,693016593088,31
ALG-CAR-485,693016593095,118
ALG-CAR-485,693016593101,280
ALG-CAR-485,693016593118,435
ALG-CAR-485,693016593125,303
ALG-CAR-485,693016593132,150
ALG-CAR-485,693016593149,61
ALG-CAR-485,693016593156,35
ALG-CAR-485,693016593163,0
ALG-CAR-529,693016592678,0
ALG-CAR-529,693016592685,13
ALG-CAR-529,693016592692,18
ALG-CAR-529,693016592708,78
ALG-CAR-529,693016592715,102
ALG-CAR-529,693016592722,85
ALG-CAR-529,693016592739,42
ALG-CAR-529,693016592746,23
ALG-CAR-529,693016592753,8
ALG-CAR-529,693016592760,0
ALG-CAR-532,693016554423,0
ALG-CAR-532,693016554430,15
ALG-CAR-532,693016554447,60
ALG-CAR-532,693016554454,125
ALG-CAR-532,693016554461,229
ALG-CAR-532,693016554478,198
ALG-CAR-532,693016554485,121
ALG-CAR-532,693016554492,68
ALG-CAR-532,693016554508,18
ALG-CAR-532,693016554515,0
ALG-CAR-601,693016496457,0
ALG-CAR-601,693016265152,0
ALG-CAR-601,693016265169,0
ALG-CAR-601,693016265176,0
ALG-CAR-601,693016265183,0
ALG-CAR-601,693016265190,0
ALG-CAR-601,693016265206,0
ALG-CAR-601,693016265213,0
ALG-CAR-601,693016265220,0
ALG-CAR-601,693016496464,0
ALG-CAR-713,693016592975,0
ALG-CAR-713,693016592982,31
ALG-CAR-713,693016592999,61
ALG-CAR-713,693016593002,194
ALG-CAR-713,693016593019,304
ALG-CAR-713,693016593026,266
ALG-CAR-713,693016593033,124
ALG-CAR-713,693016593040,40
ALG-CAR-713,693016593057,72
ALG-CAR-713,693016593064,0
ALG-CAR-781,693016592470,0
ALG-CAR-781,693016592487,11
ALG-CAR-781,693016592494,7
ALG-CAR-781,693016592500,75
ALG-CAR-781,693016592517,141
ALG-CAR-781,693016592524,102
ALG-CAR-781,693016592531,39
ALG-CAR-781,693016592548,0
ALG-CAR-781,693016592555,7
ALG-CAR-781,693016592562,0
ALG-CAR-851,693016592777,0
ALG-CAR-851,693016592784,25
ALG-CAR-851,693016592791,45
ALG-CAR-851,693016592807,161
ALG-CAR-851,693016592814,241
ALG-CAR-851,693016592821,195
ALG-CAR-851,693016592838,122
ALG-CAR-851,693016592845,45
ALG-CAR-851,693016592852,34
ALG-CAR-851,693016592869,0
ALG-CAR-852,693016592876,0
ALG-CAR-852,693016592883,34
ALG-CAR-852,693016592890,73
ALG-CAR-852,693016592906,229
ALG-CAR-852,693016592913,326
ALG-CAR-852,693016592920,261
ALG-CAR-852,693016592937,168
ALG-CAR-852,693016592944,49
ALG-CAR-852,693016592951,71
ALG-CAR-852,693016592968,0
ALG-CAR-882,693016592579,0
ALG-CAR-882,693016592586,20
ALG-CAR-882,693016592593,7
ALG-CAR-882,693016592609,87
ALG-CAR-882,693016592616,158
ALG-CAR-882,693016592623,133
ALG-CAR-882,693016592630,35
ALG-CAR-882,693016592647,0
ALG-CAR-882,693016592654,42
ALG-CAR-882,693016592661,0
ALG-CIN-324,693016385102,0
ALG-CIN-324,693016385119,0
ALG-CIN-324,693016385126,0
ALG-CIN-324,693016385133,0
ALG-CIN-324,693016385140,0
ALG-CIN-324,693016385157,0
ALG-CIN-324,693016385164,0
ALG-CIN-324,693016385171,0
ALG-CIN-324,693016385188,0
ALG-CIN-324,693016385195,0
ALG-COL-139,693016593972,0
ALG-COL-139,693016593989,0
ALG-COL-139,693016593996,20
ALG-COL-139,693016594009,39
ALG-COL-139,693016594016,71
ALG-COL-139,693016594023,43
ALG-COL-139,693016594030,25
ALG-COL-139,693016594047,2
ALG-COL-139,693016594054,0
ALG-COL-139,693016594061,0
ALG-COL-665,693016593774,0
ALG-COL-665,693016593781,7
ALG-COL-665,693016593798,12
ALG-COL-665,693016593804,25
ALG-COL-665,693016593811,38
ALG-COL-665,693016593828,26
ALG-COL-665,693016593835,0
ALG-COL-665,693016593842,0
ALG-COL-665,693016593859,0
ALG-COL-665,693016593866,0
ALG-COL-667,693016593873,0
ALG-COL-667,693016593880,10
ALG-COL-667,693016593897,19
ALG-COL-667,693016593903,63
ALG-COL-667,693016593910,124
ALG-COL-667,693016593927,109
ALG-COL-667,693016593934,58
ALG-COL-667,693016593941,0
ALG-COL-667,693016593958,23
ALG-COL-667,693016593965,0
ALG-COL-781,693016594078,0
ALG-COL-781,693016594085,7
ALG-COL-781,693016594092,12
ALG-COL-781,693016594108,32
ALG-COL-781,693016594115,135
ALG-COL-781,693016594122,115
ALG-COL-781,693016594139,56
ALG-COL-781,693016594146,0
ALG-COL-781,693016594153,13
ALG-COL-781,693016594160,0
ALG-DAY-447,693016587179,0
ALG-DAY-447,693016587186,20
ALG-DAY-447,693016587193,63
ALG-DAY-447,693016587209,117
ALG-DAY-447,693016587216,186
ALG-DAY-447,693016587223,191
ALG-DAY-447,693016587230,149
ALG-DAY-447,693016587247,87
ALG-DAY-447,693016587254,55
ALG-DAY-447,693016587261,0
ALG-DAY-553,693016571505,0
ALG-DAY-553,693016571512,12
ALG-DAY-553,693016571529,60
ALG-DAY-553,693016571536,105
ALG-DAY-553,693016571543,181
ALG-DAY-553,693016571550,178
ALG-DAY-553,693016571567,110
ALG-DAY-553,693016571574,76
ALG-DAY-553,693016571581,37
ALG-DAY-553,693016571598,0
ALG-DAY-601,693016267248,53
ALG-DAY-601,693016267255,135
ALG-DAY-601,693016267262,257
ALG-DAY-601,693016267279,372
ALG-DAY-601,693016267286,385
ALG-DAY-601,693016267293,268
ALG-DAY-601,693016267309,170
ALG-DAY-601,693016267316,61
ALG-DEB-140,693016586974,5
ALG-DEB-140,693016586981,30
ALG-DEB-140,693016586998,51
ALG-DEB-140,693016587001,151
ALG-DEB-140,693016587018,224
ALG-DEB-140,693016587025,259
ALG-DEB-140,693016587032,168
ALG-DEB-140,693016587049,69
ALG-DEB-140,693016587056,71
ALG-DEB-140,693016587063,7
ALG-DEB-141,693016586875,3
ALG-DEB-141,693016586882,19
ALG-DEB-141,693016586899,22
ALG-DEB-141,693016586905,86
ALG-DEB-141,693016586912,135
ALG-DEB-141,693016586929,164
ALG-DEB-141,693016586936,133
ALG-DEB-141,693016586943,75
ALG-DEB-141,693016586950,52
ALG-DEB-141,693016586967,0
ALG-DEB-447,693016587070,5
ALG-DEB-447,693016587087,14
ALG-DEB-447,693016587094,25
ALG-DEB-447,693016587100,32
ALG-DEB-447,693016587117,79
ALG-DEB-447,693016587124,90
ALG-DEB-447,693016587131,61
ALG-DEB-447,693016587148,35
ALG-DEB-447,693016587155,23
ALG-DEB-447,693016587162,0
ALG-DEB-480,693016506057,0
ALG-DEB-480,693016506064,8
ALG-DEB-480,693016506071,0
ALG-DEB-480,693016506088,0
ALG-DEB-480,693016506095,0
ALG-DEB-480,693016506101,0
ALG-DEB-480,693016506118,0
ALG-DEB-480,693016506125,0
ALG-DEB-480,693016506132,0
ALG-DEB-480,693016506149,0
ALG-DEB-484,693016534784,7
ALG-DEB-484,693016534791,30
ALG-DEB-484,693016534807,109
ALG-DEB-484,693016534814,134
ALG-DEB-484,693016534821,201
ALG-DEB-484,693016534838,272
ALG-DEB-484,693016534845,212
ALG-DEB-484,693016534852,128
ALG-DEB-484,693016534869,92
ALG-DEB-484,693016534876,36
ALG-DEB-531,693016272440,55
ALG-DEB-531,693016272457,196
ALG-DEB-531,693016272464,331
ALG-DEB-531,693016272471,525
ALG-DEB-531,693016272488,499
ALG-DEB-531,693016272495,341
ALG-DEB-531,693016272501,263
ALG-DEB-531,693016272518,75
ALG-DEB-531,693016313402,27
ALG-DEB-531,693016313419,14
ALG-DEB-600,693016213887,0
ALG-DEB-600,693016213894,25
ALG-DEB-600,693016213900,0
ALG-DEB-600,693016213917,112
ALG-DEB-600,693016213924,129
ALG-DEB-600,693016213931,110
ALG-DEB-600,693016213948,68
ALG-DEB-600,693016213955,35
ALG-DEB-600,693016277353,11
ALG-DEB-600,693016313426,28
ALG-DEB-601,693016213962,68
ALG-DEB-601,693016213979,186
ALG-DEB-601,693016213986,433
ALG-DEB-601,693016213993,611
ALG-DEB-601,693016214006,705
ALG-DEB-601,693016214013,345
ALG-DEB-601,693016214020,228
ALG-DEB-601,693016214037,98
ALG-DEB-601,693016277360,23
ALG-DEB-601,693016313433,53
ALG-DEB-654,693016570904,2
ALG-DEB-654,693016570911,0
ALG-DEB-654,693016570928,0
ALG-DEB-654,693016570935,0
ALG-DEB-654,693016570942,0
ALG-DEB-654,693016570959,0
ALG-DEB-654,693016570966,0
ALG-DEB-654,693016570973,0
ALG-DEB-654,693016570980,0
ALG-DEB-654,693016570997,0
ALG-DEB-777,693016570706,16
ALG-DEB-777,693016570713,80
ALG-DEB-777,693016570720,198
ALG-DEB-777,693016570737,315
ALG-DEB-777,693016570744,440
ALG-DEB-777,693016570751,390
ALG-DEB-777,693016570768,306
ALG-DEB-777,693016570775,273
ALG-DEB-777,693016570782,145
ALG-DEB-777,693016570799,19
ALG-DEB-810,693016303434,0
ALG-DEB-810,693016303441,0
ALG-DEB-810,693016303458,0
ALG-DEB-810,693016303465,0
ALG-DEB-810,693016303472,0
ALG-DEB-810,693016303489,0
ALG-DEB-810,693016303496,0
ALG-DEB-810,693016303502,0
ALG-DYL-422,693016574605,0
ALG-DYL-422,693016574612,0
ALG-DYL-422,693016574629,0
ALG-DYL-422,693016574636,0
ALG-DYL-422,693016574643,0
ALG-DYL-422,693016574650,2
ALG-DYL-422,693016574667,0
ALG-DYL-422,693016574674,0
ALG-DYL-422,693016574681,0
ALG-DYL-422,693016574698,0
ALG-DYL-601,693016574407,0
ALG-DYL-601,693016574414,0
ALG-DYL-601,693016574421,0
ALG-DYL-601,693016574438,0
ALG-DYL-601,693016574445,0
ALG-DYL-601,693016574452,0
ALG-DYL-601,693016574469,0
ALG-DYL-601,693016574476,0
ALG-DYL-601,693016574483,0
ALG-DYL-601,693016574490,0
ALG-DYL-882,693016574506,0
ALG-DYL-882,693016574513,0
ALG-DYL-882,693016574520,0
ALG-DYL-882,693016574537,0
ALG-DYL-882,693016574544,2
ALG-DYL-882,693016574551,5
ALG-DYL-882,693016574568,3
ALG-DYL-882,693016574575,0
ALG-DYL-882,693016574582,0
ALG-DYL-882,693016574599,0
ALG-ELI-425,693016577620,0
ALG-ELI-425,693016577637,0
ALG-ELI-425,693016577644,0
ALG-ELI-425,693016577651,0
ALG-ELI-425,693016577668,0
ALG-ELI-425,693016577675,0
ALG-ELI-425,693016577682,0
ALG-ELI-425,693016577699,0
ALG-ELI-425,693016577705,0
ALG-ELI-425,693016577712,0
ALG-ELI-552,693016577521,0
ALG-ELI-552,693016577538,0
ALG-ELI-552,693016577545,0
ALG-ELI-552,693016577552,0
ALG-ELI-552,693016577569,0
ALG-ELI-552,693016577576,0
ALG-ELI-552,693016577583,0
ALG-ELI-552,693016577590,0
ALG-ELI-552,693016577606,0
ALG-ELI-552,693016577613,0
ALG-ELI-747,693016577422,0
ALG-ELI-747,693016577439,0
ALG-ELI-747,693016577446,0
ALG-ELI-747,693016577453,0
ALG-ELI-747,693016577460,0
ALG-ELI-747,693016577477,0
ALG-ELI-747,693016577484,0
ALG-ELI-747,693016577491,0
ALG-ELI-747,693016577507,0
ALG-ELI-747,693016577514,0
ALG-ELL-541,693016538980,0
ALG-ELL-541,693016538997,14
ALG-ELL-541,693016539000,54
ALG-ELL-541,693016539017,63
ALG-ELL-541,693016539024,105
ALG-ELL-541,693016539031,68
ALG-ELL-541,693016539048,97
ALG-ELL-541,693016539055,53
ALG-ELL-541,693016539062,38
ALG-ELL-541,693016539079,0
ALG-ELL-551,693016511051,0
ALG-ELL-551,693016511068,35
ALG-ELL-551,693016511075,27
ALG-ELL-551,693016511082,44
ALG-ELL-551,693016511099,85
ALG-ELL-551,693016511105,65
ALG-ELL-551,693016511112,21
ALG-ELL-551,693016511129,39
ALG-ELL-551,693016511136,20
ALG-ELL-551,693016511143,0
ALG-ELL-601,693016386208,0
ALG-ELL-601,693016386215,9
ALG-ELL-601,693016386222,6
ALG-ELL-601,693016386239,11
ALG-ELL-601,693016386246,25
ALG-ELL-601,693016386253,28
ALG-ELL-601,693016386260,16
ALG-ELL-601,693016386277,29
ALG-ELL-601,693016386284,23
ALG-ELL-601,693016386291,0
ALG-ESS-424,693016589876,0
ALG-ESS-424,693016589883,16
ALG-ESS-424,693016589890,70
ALG-ESS-424,693016589906,153
ALG-ESS-424,693016589913,209
ALG-ESS-424,693016589920,193
ALG-ESS-424,693016589937,134
ALG-ESS-424,693016589944,83
ALG-ESS-424,693016589951,53
ALG-ESS-424,693016589968,0
ALG-ESS-601,693016589975,0
ALG-ESS-601,693016589982,19
ALG-ESS-601,693016589999,42
ALG-ESS-601,693016590001,90
ALG-ESS-601,693016590018,119
ALG-ESS-601,693016590025,126
ALG-ESS-601,693016590032,85
ALG-ESS-601,693016590049,58
ALG-ESS-601,693016590056,28
ALG-ESS-601,693016590063,0
ALG-ESS-822,693016589678,0
ALG-ESS-822,693016589685,14
ALG-ESS-822,693016589692,45
ALG-ESS-822,693016589708,89
ALG-ESS-822,693016589715,111
ALG-ESS-822,693016589722,127
ALG-ESS-822,693016589739,85
ALG-ESS-822,693016589746,58
ALG-ESS-822,693016589753,41
