sku,UPC,title,quantity_available,status,cost,currency_code,quantity_on_order,estimated_availability_date,pgid,date
693016266258,693016266258,Classic Brown Emboss Rose,0,,54.50,USD,,,A1152B,07/14/2017
693016266265,693016266265,Classic Brown Emboss Rose,0,,54.50,USD,,,A1152B,07/14/2017
693016266272,693016266272,Classic Brown Emboss Rose,0,,54.50,USD,,,A1152B,07/14/2017
693016533084,693016533084,Classic Pro Surreally Pretty,0,,54.50,USD,,,A1152B,07/14/2017
693016533091,693016533091,Classic Pro Surreally Pretty,21,,54.50,USD,,,A1152B,07/14/2017
693016533107,693016533107,Classic Pro Surreally Pretty,23,,54.50,USD,,,A1152B,07/14/2017
693016533114,693016533114,Classic Pro Surreally Pretty,0,,54.50,USD,,,A1152B,07/14/2017
693016533121,693016533121,Classic Pro Surreally Pretty,67,,54.50,USD,,,A1152B,07/14/2017
693016533138,693016533138,Classic Pro Surreally Pretty,0,,54.50,USD,,,A1152B,07/14/2017
693016533145,693016533145,Classic Pro Surreally Pretty,0,,54.50,USD,,,A1152B,07/14/2017
693016533152,693016533152,Classic Pro Surreally Pretty,17,,54.50,USD,,,A1152B,07/14/2017
693016533169,693016533169,Classic Pro Surreally Pretty,11,,54.50,USD,,,A1152B,07/14/2017
693016533176,693016533176,Classic Pro Surreally Pretty,0,,54.50,USD,,,A1152B,07/14/2017
693016609048,693016609048,Classic Blue Romance,17,,54.50,USD,,,A1152B,07/14/2017
693016609055,693016609055,Classic Blue Romance,21,,54.50,USD,,,A1152B,07/14/2017
693016609062,693016609062,Classic Blue Romance,46,,54.50,USD,,,A1152B,07/14/2017
693016609079,693016609079,Classic Blue Romance,55,,54.50,USD,,,A1152B,07/14/2017
693016609086,693016609086,Classic Blue Romance,42,,54.50,USD,,,A1152B,07/14/2017
693016609093,693016609093,Classic Blue Romance,24,,54.50,USD,,,A1152B,07/14/2017
693016609109,693016609109,Classic Blue Romance,12,,54.50,USD,,,A1152B,07/14/2017
693016609116,693016609116,Classic Blue Romance,0,,54.50,USD,,,A1152B,07/14/2017
693016609123,693016609123,Classic Blue Romance,0,,54.50,USD,,,A1152B,07/14/2017
693016569700,693016569700,Classic Tan Yeehaw,0,,54.50,USD,,,A1152B,07/14/2017
693016569717,693016569717,Classic Tan Yeehaw,12,,54.50,USD,,,A1152B,07/14/2017
693016569724,693016569724,Classic Tan Yeehaw,28,,54.50,USD,,,A1152B,07/14/2017
693016569731,693016569731,Classic Tan Yeehaw,59,,54.50,USD,,,A1152B,07/14/2017
693016569748,693016569748,Classic Tan Yeehaw,58,,54.50,USD,,,A1152B,07/14/2017
693016569755,693016569755,Classic Tan Yeehaw,71,,54.50,USD,,,A1152B,07/14/2017
693016569762,693016569762,Classic Tan Yeehaw,60,,54.50,USD,,,A1152B,07/14/2017
693016569779,693016569779,Classic Tan Yeehaw,49,,54.50,USD,,,A1152B,07/14/2017
693016569786,693016569786,Classic Tan Yeehaw,30,,54.50,USD,,,A1152B,07/14/2017
693016569793,693016569793,Classic Tan Yeehaw,0,,54.50,USD,,,A1152B,07/14/2017
693016214464,693016214464,Classic Black Napa,30,,54.50,USD,,,A1152B,07/14/2017
693016208494,693016208494,Classic Black Napa,2,,54.50,USD,,,A1152B,07/14/2017
693016208500,693016208500,Classic Black Napa,11,,54.50,USD,,,A1152B,07/14/2017
693016208517,693016208517,Classic Black Napa,3,,54.50,USD,,,A1152B,07/14/2017
693016208524,693016208524,Classic Black Napa,68,,54.50,USD,,,A1152B,07/14/2017
693016208531,693016208531,Classic Black Napa,0,,54.50,USD,,,A1152B,07/14/2017
693016208548,693016208548,Classic Black Napa,0,,54.50,USD,,,A1152B,07/14/2017
693016208555,693016208555,Classic Black Napa,0,,54.50,USD,,,A1152B,07/14/2017
693016272846,693016272846,Classic Dusty Black,0,,54.50,USD,,,A1152B,07/14/2017
693016272853,693016272853,Classic Dusty Black,0,,54.50,USD,,,A1152B,07/14/2017
693016272860,693016272860,Classic Dusty Black,0,,54.50,USD,,,A1152B,07/14/2017
693016272877,693016272877,Classic Dusty Black,0,,54.50,USD,,,A1152B,07/14/2017
693016272884,693016272884,Classic Dusty Black,0,,54.50,USD,,,A1152B,07/14/2017
693016272891,693016272891,Classic Dusty Black,0,,54.50,USD,,,A1152B,07/14/2017
693016272907,693016272907,Classic Dusty Black,0,,54.50,USD,,,A1152B,07/14/2017
693016272914,693016272914,Classic Dusty Black,0,,54.50,USD,,,A1152B,07/14/2017
693016273003,693016273003,Classic Dusty Cognac,49,discontinued,34.50,USD,,,A1152B,07/14/2017
693016273010,693016273010,Classic Dusty Cognac,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016273027,693016273027,Classic Dusty Cognac,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016273034,693016273034,Classic Dusty Cognac,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016273041,693016273041,Classic Dusty Cognac,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016273058,693016273058,Classic Dusty Cognac,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016273065,693016273065,Classic Dusty Cognac,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016273072,693016273072,Classic Dusty Cognac,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016609246,693016609246,Classic Jet Luster,0,,54.50,USD,,,A1152B,07/14/2017
693016609253,693016609253,Classic Jet Luster,18,,54.50,USD,,,A1152B,07/14/2017
693016609260,693016609260,Classic Jet Luster,32,,54.50,USD,,,A1152B,07/14/2017
693016609277,693016609277,Classic Jet Luster,62,,54.50,USD,,,A1152B,07/14/2017
693016609284,693016609284,Classic Jet Luster,39,,54.50,USD,,,A1152B,07/14/2017
693016609291,693016609291,Classic Jet Luster,5,,54.50,USD,,,A1152B,07/14/2017
693016609307,693016609307,Classic Jet Luster,7,,54.50,USD,,,A1152B,07/14/2017
693016609314,693016609314,Classic Jet Luster,0,,54.50,USD,,,A1152B,07/14/2017
693016609321,693016609321,Classic Jet Luster,0,,54.50,USD,,,A1152B,07/14/2017
693016519781,693016519781,Classic Breezy Tawny,0,,54.50,USD,,,A1152B,07/14/2017
693016519798,693016519798,Classic Breezy Tawny,7,,54.50,USD,,,A1152B,07/14/2017
693016519804,693016519804,Classic Breezy Tawny,8,,54.50,USD,,,A1152B,07/14/2017
693016519811,693016519811,Classic Breezy Tawny,16,,54.50,USD,,,A1152B,07/14/2017
693016519828,693016519828,Classic Breezy Tawny,27,,54.50,USD,,,A1152B,07/14/2017
693016519835,693016519835,Classic Breezy Tawny,41,,54.50,USD,,,A1152B,07/14/2017
693016519842,693016519842,Classic Breezy Tawny,37,,54.50,USD,,,A1152B,07/14/2017
693016519859,693016519859,Classic Breezy Tawny,19,,54.50,USD,,,A1152B,07/14/2017
693016519866,693016519866,Classic Breezy Tawny,0,,54.50,USD,,,A1152B,07/14/2017
693016519873,693016519873,Classic Breezy Tawny,0,,54.50,USD,,,A1152B,07/14/2017
693016585571,693016585571,Classic Swirly Goodness,0,,54.50,USD,,,A1152B,07/14/2017
693016585588,693016585588,Classic Swirly Goodness,11,,54.50,USD,,,A1152B,07/14/2017
693016585595,693016585595,Classic Swirly Goodness,39,,54.50,USD,,,A1152B,07/14/2017
693016585601,693016585601,Classic Swirly Goodness,95,,54.50,USD,,,A1152B,07/14/2017
693016585618,693016585618,Classic Swirly Goodness,138,,54.50,USD,,,A1152B,07/14/2017
693016585625,693016585625,Classic Swirly Goodness,152,,54.50,USD,,,A1152B,07/14/2017
693016585632,693016585632,Classic Swirly Goodness,113,,54.50,USD,,,A1152B,07/14/2017
693016585649,693016585649,Classic Swirly Goodness,76,,54.50,USD,,,A1152B,07/14/2017
693016585656,693016585656,Classic Swirly Goodness,32,,54.50,USD,,,A1152B,07/14/2017
693016585663,693016585663,Classic Swirly Goodness,0,,54.50,USD,,,A1152B,07/14/2017
693016488384,693016488384,Classic Black Burnish Snake,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016488391,693016488391,Classic Black Burnish Snake,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016488407,693016488407,Classic Black Burnish Snake,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016488414,693016488414,Classic Black Burnish Snake,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016488421,693016488421,Classic Black Burnish Snake,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016488438,693016488438,Classic Black Burnish Snake,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016488445,693016488445,Classic Black Burnish Snake,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016488452,693016488452,Classic Black Burnish Snake,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016488469,693016488469,Classic Black Burnish Snake,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016488476,693016488476,Classic Black Burnish Snake,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016256068,693016256068,Classic Brilliant Snake,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016256075,693016256075,Classic Brilliant Snake,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016256082,693016256082,Classic Brilliant Snake,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016256099,693016256099,Classic Brilliant Snake,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016256105,693016256105,Classic Brilliant Snake,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016256112,693016256112,Classic Brilliant Snake,0,discontinued,34.50,USD,,,A1152B,07/14/2017
693016256129,693016256129,Classic Brilliant Snake,0,discontinued,34.50,USD,,,A1152B,07/14/2017
